username,password,score,gamesPlayed
abc,def,0,0
plpl,klkl,0,0
abcd,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4,0,0
qqq,7c2ecd07f155648431e0f94b89247d713c5786e1e73e953f2fe7eca39534cd6d,0,0
abcde,d5ce2b19fbda14a25deac948154722f33efd37b369a32be8f03ec2be8ef7d3a5,0,0
1234,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4,122,0
new_user,03ac674216f3e15c761ee1a5e255f067953623c8b388b4459e13f978d7c846f4,0,0
qweqwe,3cc849279ba298b587a34cabaeffc5ecb3a044bbf97c516fab7ede9d1af77cfa,0,0
qwe,489cd5dbc708c7e541de4d7cd91ce6d0f1613573b7fc5b40d3942ccb9555cf35,0,0
ric,0799c9bf02b714b37191847fb4d8675b71e8011b8f30cd9b51f534d6c60c1c58,100,0
a,ca978112ca1bbdcafac231b39a23dc4da786eff8147c4e72b9807785afee48bb,200,0
i,de7d1b721a1e0632b7cf04edf5032c8ecffa9f9a08492152b926f1a5a7e765d7,100,0
da,aa58b21b01d6b8a99c1a5856962dbac36c758a79dc0a77c2e013ce2c39ecdc8a,0,0
lp,0a7aacae9b43f934498185566d2a865ef93d4f4c4488c60d085f5b268c949825,48,0
new,11507a0e2f5e69d5dfa40a62a1bd7b6ee57e6bcd85c67c9b8431b36fff21c437,0,0
